Event,Node,Arrival,Mode
0,35,151.79496952634233,1
1,35,151.79496952634233,None
1,35,151.86413148157828,None
1,35,151.972032812872,None
1,35,152.0322625115594,None
1,35,153.3623365187406,None
1,35,153.3646701650343,None
1,35,153.7749964593081,None
1,35,154.12985959276452,None
1,35,155.1430878337682,None
1,35,155.16637167836913,None
1,35,155.25443748662565,None
1,35,155.2851382375885,None
1,35,156.00839972378338,None
1,35,156.7619303146465,None
0,20,157.1492697200228,1
1,20,157.1492697200228,None
1,20,157.63525008456762,None
1,35,157.91441008150179,None
1,20,158.01453610185732,None
1,20,158.14743050850598,None
1,20,158.60677533853885,None
1,20,158.61182769421214,None
1,20,158.82352334747296,None
1,35,159.069348174544,None
1,35,159.09752854084124,None
1,20,159.16683993085806,None
1,20,159.34455550249166,None
0,42,159.5717959448347,1
1,42,159.5717959448347,None
1,20,159.5856246375507,None
1,35,159.6124007167853,None
1,20,159.6282987212891,None
1,20,159.8596143996753,None
1,42,159.90411031454002,None
1,42,160.2306019351708,None
1,20,160.24966777490135,None
1,42,160.53652323034913,None
1,42,160.71562905577582,None
1,35,160.89398834886822,None
0,6,161.57437848566906,1
1,6,161.57437848566906,None
1,42,161.65841595779722,None
1,35,161.65993575955778,None
1,42,161.75792865367723,None
1,35,161.84643136266695,None
1,6,162.00647698615367,None
1,42,162.03722923691814,None
1,20,162.1179299283221,None
1,6,162.1252395334401,None
1,6,162.15598616517576,None
1,35,162.2406401343601,None
1,20,162.47635559748863,None
1,35,162.52645674761507,None
1,35,162.69947724962603,None
1,42,162.81674883416485,None
1,6,163.19147935307493,None
1,35,163.31164843755573,None
1,35,163.44838887349778,None
1,35,163.52736219362558,None
1,20,163.53826535274146,None
1,35,163.54459244795675,None
1,42,163.55423237475475,None
1,35,163.67083125725685,None
1,42,163.87020117943092,None
1,42,164.0395992928694,None
1,35,164.10889981768742,None
0,38,164.1276821456156,1
1,38,164.1276821456156,None
1,38,164.24095037919764,None
1,35,164.3348710607865,None
1,6,164.46868104645702,None
1,38,164.49444829073886,None
1,38,164.49784791828407,None
1,6,164.56087948675972,None
0,25,164.68928889669897,1
1,25,164.68928889669897,None
1,20,164.7697410111947,None
1,38,164.7888655396542,None
1,20,164.8384477102788,None
1,35,164.95128254742932,None
1,6,164.9711301779507,None
1,38,165.00173670428418,None
1,42,165.04095904147803,None
1,35,165.05214173484697,None
1,35,165.07645851606915,None
1,35,165.2490226912964,None
1,38,165.30638731952632,None
1,20,165.56648486122825,None
1,38,165.74552512242596,None
1,25,165.80833869338167,None
1,35,165.82161946934218,None
1,38,165.89633621016847,None
1,42,165.9195655242073,None
1,38,166.18479164948872,None
0,34,166.24268579241348,1
1,34,166.24268579241348,None
1,38,166.26814139184927,None
1,34,166.38073132437867,None
1,25,166.45202352409842,None
1,25,166.53390710814546,None
1,6,166.6581348061984,None
1,42,166.78679232136105,None
1,42,166.8720941712556,None
1,42,166.87531580728708,None
1,35,166.98321681351365,None
1,35,166.99375108270024,None
1,25,167.01908510172765,None
1,35,167.13183280771247,None
1,35,167.17795861568672,None
1,38,167.21646391458208,None
1,25,167.3162179667228,None
1,6,167.52283782967223,None
1,6,167.53188283968112,None
1,34,167.6376981192084,None
1,20,167.66378892160884,None
1,25,167.8084159031883,None
1,6,167.8620813257247,None
1,38,167.92703776212502,None
1,34,168.1217295632754,None
1,38,168.30774529856185,None
1,42,168.32189896760423,None
1,20,168.36343314256575,None
1,42,168.4209974405216,None
